frame,theta,omega,tau_th,tau_em,tau_fr,tau_load,tau_net,T_core,T_ch0,T_ch1,T_ch2,T_ch3,T_ch4,T_ch5,KE,E_th,E_em,E_load
74,2.8677,36.5771,0.000,12.000,54.247,4.926,-47.173,403.56,198.23,193.38,191.89,202.44,200.96,199.65,535.15,214768.51,2264.14,2952.19
75,4.3190,34.3303,0.000,12.000,47.829,4.746,-40.576,402.50,201.28,196.51,195.05,193.50,191.87,202.67,471.43,214768.51,2281.56,2959.21
76,5.6848,32.3897,0.000,12.000,42.611,4.591,-35.203,401.44,204.26,199.57,198.14,196.61,195.01,193.57,419.64,214768.51,2297.95,2965.59
77,0.6934,30.6999,0.000,12.000,38.313,4.456,-30.769,400.40,195.15,202.56,201.16,199.66,198.08,196.67,376.99,214768.51,2313.45,2971.43
78,1.9203,29.2182,0.000,12.000,34.733,4.337,-27.070,399.37,198.20,193.54,204.10,202.63,201.08,199.70,341.48,214768.51,2328.17,2976.83
79,3.0902,27.9111,0.000,12.000,31.719,4.233,-23.952,398.35,201.18,196.60,195.05,205.53,204.01,202.65,311.61,214768.51,2342.21,2981.84
80,4.2098,26.7516,0.000,12.000,29.161,4.140,-21.301,397.34,204.09,199.60,198.07,196.43,194.72,205.53,286.26,214768.51,2355.65,2986.53
81,5.2845,25.7182,0.000,12.000,26.971,4.057,-19.029,396.35,206.93,202.52,201.02,199.41,197.73,196.18,264.57,214768.51,2368.54,2990.93
82,0.0360,24.7932,0.000,12.000,25.084,3.983,-17.067,395.37,197.51,205.37,203.90,202.32,200.67,199.14,245.88,214768.51,2380.96,2995.09
83,1.0348,23.9621,0.000,12.000,23.446,3.917,-15.363,394.41,200.44,208.16,206.71,205.17,203.54,202.04,229.67,214768.51,2392.94,2999.04
84,2.0012,23.2128,0.000,12.000,22.018,3.857,-13.875,393.46,203.30,198.92,209.46,207.94,206.34,204.88,215.53,214768.51,2404.54,3002.80
85,2.9385,22.5351,0.000,12.000,20.764,3.803,-12.567,392.52,206.09,201.79,200.13,210.65,209.08,207.64,203.13,214768.51,2415.79,3006.39
86,4.1759,44.4744,0.000,12.000,80.008,5.558,-73.566,391.59,208.82,204.60,202.97,201.24,211.76,210.34,791.19,215440.07,2426.52,3012.11
87,0.2351,59.6017,0.000,12.000,143.286,6.768,-138.055,390.67,199.27,207.34,205.74,204.04,202.35,200.86,1420.94,216405.05,2448.38,3027.57
88,2.5413,53.2969,0.000,12.000,114.688,6.264,-108.952,389.74,202.09,197.98,196.31,206.77,205.11,203.65,1136.23,216405.05,2476.05,3042.60
89,4.6171,48.2645,0.000,12.000,94.144,5.861,-88.005,388.81,204.85,200.81,199.17,197.43,195.69,206.38,931.79,216405.05,2500.96,3055.19
90,0.2239,44.1624,0.000,12.000,78.896,5.533,-72.429,387.89,195.41,203.57,201.96,200.25,198.55,197.02,780.13,216405.05,2523.64,3065.96
91,1.9610,40.7608,0.000,12.000,67.273,5.261,-60.534,386.96,198.25,194.26,204.69,203.01,201.34,199.84,664.58,216405.05,2544.49,3075.33
92,3.5705,37.9001,0.000,12.000,58.215,5.032,-51.247,386.05,201.03,197.11,195.42,193.64,204.06,202.59,574.57,216405.05,2563.80,3083.62
93,5.0720,35.4653,0.000,12.000,51.021,4.837,-43.858,385.13,203.74,199.89,198.24,196.49,194.72,205.27,503.12,216405.05,2581.82,3091.03
94,0.1979,33.3721,0.000,12.000,45.215,4.670,-37.885,384.23,194.28,202.61,200.99,199.27,197.53,195.95,445.48,216405.05,2598.73,3097.73
95,1.5272,31.5569,0.000,12.000,40.465,4.525,-32.989,383.33,197.08,193.23,203.67,201.98,200.28,198.73,398.34,216405.05,2614.68,3103.84
96,2.7870,29.9709,0.000,12.000,36.530,4.398,-28.927,382.44,199.82,196.04,194.29,204.64,202.96,201.44,359.30,216405.05,2629.79,3109.46
97,3.9859,28.5760,0.000,12.000,33.235,4.286,-25.521,381.56,202.50,198.79,197.07,195.25,205.59,204.09,326.64,216405.05,2644.18,3114.67
98,5.1311,27.3422,0.000,12.000,30.451,4.187,-22.638,380.69,205.12,201.47,199.78,198.00,196.18,206.68,299.04,216405.05,2657.92,3119.52
99,6.2287,26.2451,0.000,12.000,28.077,4.100,-20.177,379.83,207.67,204.09,202.43,200.68,198.89,197.24,275.52,216405.05,2671.10,3124.07
100,1.0006,25.2653,0.000,12.000,26.039,4.021,-18.060,378.99,198.20,206.65,205.02,203.30,201.54,199.92,255.33,216405.05,2683.76,3128.35
101,2.0177,24.3867,0.000,12.000,24.276,3.951,-16.227,378.15,200.85,197.20,207.55,205.86,204.14,202.54,237.88,216405.05,2695.96,3132.41
102,3.0007,23.5959,0.000,12.000,22.743,3.888,-14.630,377.32,203.44,199.86,198.04,208.36,206.67,205.10,222.71,216405.05,2707.76,3136.26
103,3.9528,22.8818,0.000,12.000,21.401,3.831,-13.231,376.50,205.97,202.45,200.67,198.80,209.14,207.60,209.43,216405.05,2719.18,3139.94
104,4.8772,22.2352,0.000,12.000,20.221,3.779,-12.000,375.70,208.44,204.99,203.24,201.40,199.51,210.05,197.76,216405.05,2730.28,3143.45
105,5.8153,33.3713,971.187,0.000,45.213,4.670,921.304,374.90,210.85,207.46,205.74,203.94,202.08,200.33,445.46,216678.54,2739.76,3147.04
106,1.1789,48.0777,0.000,12.000,93.420,5.846,-87.266,374.12,201.12,197.69,208.19,206.42,204.60,202.88,924.59,217281.57,2754.46,3155.71
107,3.0619,44.0086,0.000,12.000,78.350,5.521,-71.871,373.33,203.64,200.27,198.50,208.85,207.06,205.37,774.70,217281.57,2777.06,3166.41
108,4.7933,40.6323,0.000,12.000,66.852,5.251,-60.103,372.54,206.10,202.79,201.06,199.23,197.35,207.80,660.39,217281.57,2797.84,3175.74
109,0.1148,37.7912,0.000,12.000,57.883,5.023,-50.906,371.76,196.34,205.26,203.55,201.76,199.91,198.15,571.27,217281.57,2817.09,3183.98
110,1.6121,35.3722,0.000,12.000,50.755,4.830,-43.585,370.98,198.91,195.59,205.99,204.23,202.41,200.68,500.48,217281.57,2835.06,3191.36
111,3.0177,33.2917,0.000,12.000,44.999,4.663,-37.663,370.20,201.42,198.16,196.36,206.64,204.86,203.16,443.33,217281.57,2851.93,3198.03
112,4.3439,31.4869,0.000,12.000,40.287,4.519,-32.806,369.43,203.87,200.67,198.90,197.04,195.11,205.58,396.57,217281.57,2867.84,3204.12
113,5.6010,29.9095,0.000,12.000,36.381,4.393,-28.774,368.66,206.26,203.12,201.38,199.56,197.66,195.84,357.83,217281.57,2882.93,3209.73
114,0.5144,28.5218,0.000,12.000,33.110,4.282,-25.392,367.90,196.52,205.51,203.81,202.02,200.15,198.37,325.40,217281.57,2897.28,3214.92
115,1.6575,27.2941,0.000,12.000,30.345,4.184,-22.528,367.15,199.03,195.82,206.18,204.42,202.59,200.84,297.99,217281.57,2911.00,3219.76
116,2.7532,26.2022,0.000,12.000,27.986,4.096,-20.083,366.41,201.47,198.32,196.46,206.77,204.97,203.25,274.62,217281.57,2924.15,3224.29
117,3.8066,25.2269,0.000,12.000,25.960,4.018,-17.979,365.67,203.86,200.77,198.94,197.03,207.30,205.61,254.56,217281.57,2936.79,3228.57
118,4.8223,24.3522,0.000,12.000,24.208,3.948,-16.156,364.94,206.19,203.15,201.36,199.49,197.52,207.91,237.21,217281.57,2948.98,3232.61
119,5.8039,23.5648,0.000,12.000,22.683,3.885,-14.568,364.23,208.47,205.49,203.73,201.89,199.96,198.09,222.12,217281.57,2960.76,3236.46
120,0.4717,22.8537,0.000,12.000,21.349,3.828,-13.177,363.52,198.61,207.77,206.04,204.23,202.34,200.50,208.92,217281.57,2972.17,3240.13
121,1.3949,22.2097,0.000,12.000,20.175,3.777,-11.952,362.82,201.00,197.89,208.30,206.53,204.67,202.86,197.31,217281.57,2983.25,3243.64
122,2.2931,21.6248,0.000,12.000,19.138,3.730,-10.868,362.12,203.34,200.28,198.35,208.77,206.94,205.17,187.05,217281.57,2994.03,3247.01
123,3.1683,21.0924,0.000,12.000,18.217,3.687,-9.905,361.44,205.62,202.62,200.73,198.74,209.16,207.42,177.96,217281.57,3004.53,3250.25
124,4.1855,30.0638,0.000,12.000,36.754,4.405,-29.160,360.77,207.86,204.91,203.05,201.09,211.33,209.62,361.53,217493.55,3014.05,3254.35
125,5.5887,36.9548,0.000,12.000,55.365,4.956,-48.322,360.10,210.04,207.14,205.32,203.40,201.43,199.59,546.26,217745.26,3028.32,3261.03
126,0.7900,35.1944,0.000,12.000,50.250,4.816,-43.065,359.43,200.07,209.33,207.54,205.65,203.72,201.91,495.46,217763.62,3045.69,3268.30
127,2.1887,33.1381,0.000,12.000,44.588,4.651,-37.239,358.77,202.37,199.44,197.51,207.85,205.96,204.18,439.25,217763.62,3062.48,3274.92
128,3.5091,31.3530,0.000,12.000,39.948,4.508,-32.456,358.10,204.62,201.74,199.85,197.86,208.14,206.40,393.21,217763.62,3078.32,3280.97
129,4.7611,29.7921,0.000,12.000,36.099,4.383,-28.482,357.44,206.81,203.99,202.13,200.18,198.18,208.56,355.03,217763.62,3093.34,3286.54
130,5.9531,28.4182,0.000,12.000,32.872,4.273,-25.146,356.79,208.96,206.19,204.36,202.45,200.48,198.61,323.04,217763.62,3107.65,3291.70
131,0.8090,27.2021,0.000,12.000,30.142,4.176,-22.318,356.14,199.01,208.33,206.54,204.66,202.73,200.89,295.98,217763.62,3121.32,3296.51
132,1.9012,26.1203,0.000,12.000,27.813,4.090,-19.903,355.50,201.28,198.42,208.68,206.83,204.93,203.13,272.91,217763.62,3134.42,3301.02
133,2.9515,25.1535,0.000,12.000,25.811,4.012,-17.823,354.86,203.50,200.68,198.74,208.94,207.08,205.31,253.08,217763.62,3147.03,3305.28
134,3.9642,24.2862,0.000,12.000,24.079,3.943,-16.021,354.23,205.66,202.90,200.99,198.99,209.19,207.44,235.93,217763.62,3159.18,3309.31
135,4.9433,23.5053,0.000,12.000,22.570,3.880,-14.450,353.61,207.78,205.06,203.19,201.23,199.20,209.53,221.00,217763.62,3170.93,3313.14
136,5.8919,22.7999,0.000,12.000,21.249,3.824,-13.073,352.99,209.85,207.18,205.34,203.41,201.42,199.50,207.93,217763.62,3182.31,3316.79
137,0.5299,22.1608,0.000,12.000,20.087,3.773,-11.860,352.38,199.77,209.25,207.44,205.55,203.60,201.71,196.44,217763.62,3193.37,3320.29
138,1.4580,22.4416,0.000,12.000,20.594,3.795,-12.389,351.78,201.96,199.15,209.50,207.64,205.72,203.87,201.45,217781.38,3203.74,3323.83
139,2.3651,21.8356,0.000,12.000,19.508,3.747,-11.255,351.18,204.11,201.35,199.35,209.68,207.79,205.98,190.72,217781.38,3214.62,3327.25
140,3.3754,25.9268,0.000,12.000,27.406,4.074,-19.481,350.59,206.20,203.49,201.53,199.49,209.82,208.04,268.88,217880.68,3224.93,3331.27
141,4.6524,32.6606,0.000,12.000,43.322,4.613,-35.935,350.00,208.25,205.59,203.66,201.66,199.65,210.05,426.69,218088.14,3237.66,3337.02
142,5.9560,30.9801,0.000,12.000,39.010,4.478,-31.489,349.42,210.25,207.64,205.74,203.77,201.81,199.91,383.91,218089.79,3252.92,3342.95
143,0.9105,29.4645,0.000,12.000,35.316,4.357,-27.673,348.84,200.15,209.64,207.78,205.85,203.92,202.06,347.26,218089.79,3267.77,3348.42
144,2.0899,28.1289,0.000,12.000,32.212,4.250,-24.462,348.26,202.27,199.58,209.77,207.87,205.98,204.15,316.49,218089.79,3281.92,3353.49
145,3.2179,26.9452,0.000,12.000,29.581,4.156,-21.736,347.69,204.35,201.71,199.73,197.66,207.99,206.20,290.42,218089.79,3295.46,3358.24
146,4.3001,25.8911,0.000,12.000,27.332,4.071,-19.403,347.12,206.39,203.79,201.84,199.81,197.78,208.20,268.14,218089.79,3308.44,3362.69
147,5.3415,24.9482,0.000,12.000,25.395,3.996,-17.391,346.55,208.38,205.83,203.91,201.92,199.92,197.97,248.96,218089.79,3320.94,3366.89
148,0.0631,24.1016,0.000,12.000,23.717,3.928,-15.646,345.99,198.12,207.82,205.94,203.98,202.02,200.10,232.35,218089.79,3333.00,3370.87
149,1.0350,23.3387,0.000,12.000,22.255,3.867,-14.122,345.43,200.24,209.76,207.91,205.99,204.06,202.18,217.88,218089.79,3344.66,3374.66
150,1.9771,22.6491,0.000,12.000,20.972,3.812,-12.784,344.88,202.31,199.67,209.85,207.96,206.07,204.22,205.19,218089.79,3355.97,3378.28
151,2.8924,22.0240,0.000,12.000,19.843,3.762,-11.605,344.34,204.33,201.74,199.71,209.88,208.02,206.21,194.02,218089.79,3366.95,3381.74
152,3.7833,21.4559,0.000,12.000,18.843,3.716,-10.560,343.80,206.31,203.77,201.78,199.70,209.94,208.15,184.14,218089.79,3377.64,3385.07
153,4.6520,20.9384,0.000,12.000,17.955,3.675,-9.631,343.27,208.25,205.75,203.79,201.76,199.70,210.06,175.37,218089.79,3388.06,3388.29
154,5.5998,23.2996,0.000,12.000,22.181,3.864,-14.045,342.74,210.14,207.69,205.77,203.77,201.74,199.77,217.15,218146.89,3398.05,3391.93
155,0.5758,31.5555,0.000,12.000,40.461,4.524,-32.985,342.22,199.86,209.58,207.70,205.73,203.75,201.80,398.30,218376.80,3410.63,3397.56
156,1.8441,30.1818,0.000,12.000,37.041,4.415,-29.456,341.70,201.89,199.36,209.58,207.65,205.70,203.80,364.38,218383.23,3425.47,3403.24
157,3.0512,28.7620,0.000,12.000,33.665,4.301,-25.966,341.18,203.87,201.38,199.39,209.53,207.61,205.74,330.90,218383.23,3439.96,3408.50
158,4.2035,27.5070,0.000,12.000,30.816,4.201,-23.016,340.66,205.80,203.36,201.40,199.36,197.28,207.65,302.65,218383.23,3453.79,3413.40
159,5.3075,26.3920,0.000,12.000,28.389,4.111,-20.501,340.14,207.70,205.30,203.38,201.37,199.33,197.32,278.62,218383.23,3467.03,3417.98
160,0.0851,25.3967,0.000,12.000,26.308,4.032,-18.339,339.63,197.37,207.20,205.31,203.33,201.33,199.36,258.00,218383.23,3479.76,3422.30
161,1.1073,24.5047,0.000,12.000,24.509,3.960,-16.470,339.12,199.40,196.87,207.19,205.26,203.29,201.35,240.19,218383.23,3492.03,3426.39
162,2.0948,23.7023,0.000,12.000,22.946,3.896,-14.842,338.62,201.38,198.90,196.84,207.14,205.20,203.30,224.72,218383.23,3503.88,3430.27
163,3.0512,22.9780,0.000,12.000,21.579,3.838,-13.417,338.12,203.32,200.88,198.87,208.97,207.08,205.20,211.20,218383.23,3515.36,3433.97
164,3.9793,22.3224,0.000,12.000,20.378,3.786,-12.164,337.62,205.22,202.82,200.84,198.77,208.91,207.07,199.32,218383.23,3526.49,3437.51
165,4.8818,21.7273,0.000,12.000,19.318,3.738,-11.056,337.13,207.07,204.72,202.78,200.74,198.66,208.89,188.83,218383.23,3537.33,3440.90
166,5.7611,21.1858,0.000,12.000,18.377,3.695,-10.072,336.64,208.89,206.58,204.67,202.67,200.63,198.60,179.53,218383.23,3547.88,3444.17
167,0.3360,20.6919,0.000,12.000,17.540,3.655,-9.195,336.16,198.54,208.39,206.52,204.56,202.55,200.56,171.26,218383.23,3558.17,3447.32
168,1.1747,20.2406,0.000,12.000,16.792,3.619,-8.411,335.69,200.49,197.99,208.33,206.40,204.43,202.47,163.87,218383.23,3568.24,3450.38
169,1.9958,19.8274,0.000,12.000,16.122,3.586,-7.708,335.22,202.40,199.95,210.10,208.20,206.27,204.35,157.25,218383.23,3578.09,3453.33
